Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	-0.285	2	0.03				Male		
False	0.27	2	0.03				Male		
False	-0.2550001	2	0.03				Male		
True	0.2400001	3	0.03				Male		
True	-0.2250001	4	0.03				Male		
False	0.2100001	4	0.03				Male		
True	-0.1950001	5	0.03				Male		
False	0.1800001	5	0.03				Male		
False	-0.1650001	5	0.03				Male		
True	0.3	1	0.03				Male		
True	-0.285	2	0.03				Male		
True	0.27	3	0.03				Male		
False	-0.2550001	3	0.03				Male		
True	0.2400001	4	0.03				Male		
False	-0.2250001	4	0.03				Male		
False	0.2100001	4	0.03				Male		
True	-0.1950001	5	0.03				Male		
False	0.1800001	5	0.03				Male		
False	-0.1650001	5	0.03				Male		
True	0.3	1	0.03				Male		
True	-0.285	2	0.03				Male		
False	0.27	2	0.03				Male		
False	-0.2550001	2	0.03				Male		
False	0.2400001	2	0.03				Male		
False	-0.2250001	2	0.03				Male		
True	0.2100001	3	0.03				Male		
False	-0.1950001	3	0.03				Male		
False	0.1800001	3	0.03				Male		
False	-0.1650001	3	0.03				Male		
True	0.5	1	0.05				Male		
True	1	1	0.05				Male		
False	1	0	0.05				Male		
False	-0.95	0	0.05				Male		
False	0.9	0	0.05				Male		
True	-0.85	1	0.05				Male		
True	0.8	2	0.05				Male		
False	-0.7499999	2	0.05				Male		
False	0.6999999	2	0.05				Male		
True	-0.6499999	3	0.05				Male		
False	0.5999999	3	0.05				Male		
True	-0.5499999	4	0.05				Male		
False	1	0	0.05				Male		
False	-0.95	0	0.05				Male		
True	0.9	1	0.05				Male		
False	-0.85	1	0.05				Male		
False	0.8	1	0.05				Male		
False	-0.7499999	1	0.05				Male		
True	0.6999999	2	0.05				Male		
False	-0.6499999	2	0.05				Male		
False	0.5999999	2	0.05				Male		
False	-0.5499999	2	0.05				Male		
False	1	0	0.05				Male		
True	-0.95	1	0.05				Male		
True	0.9	2	0.05				Male		
False	-0.85	2	0.05				Male		
True	0.8	3	0.05				Male		
True	-0.7499999	4	0.05				Male		
True	0.6999999	5	0.05				Male		
False	-0.6499999	5	0.05				Male		
False	0.5999999	5	0.05				Male		
True	-0.5499999	6	0.05				Male		
False	1	0	0.05				Male		
True	-0.95	1	0.05				Male		
False	0.9	1	0.05				Male		
True	-0.85	2	0.05				Male		
True	0.8	3	0.05				Male		
True	-0.7499999	4	0.05				Male		
True	0.6999999	5	0.05				Male		
False	-0.6499999	5	0.05				Male		
True	0.5999999	6	0.05				Male		
False	-0.5499999	6	0.05				Male		
True	1	1	0.05				Male		
False	-0.95	1	0.05				Male		
False	0.9	1	0.05				Male		
True	-0.85	2	0.05				Male		
False	0.8	2	0.05				Male		
False	-0.7499999	2	0.05				Male		
True	0.6999999	3	0.05				Male		
True	-0.6499999	4	0.05				Male		
True	0.5999999	5	0.05				Male		
True	-0.5499999	6	0.05				Male		
True	1	1	0.05				Male		
True	-0.95	2	0.05				Male		
False	0.9	2	0.05				Male		
False	-0.85	2	0.05				Male		
False	0.8	2	0.05				Male		
